Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2023-12-07,368.1966552734375,368.69294404976455,363.6010163580793,365.496843118576,23118900
2023-12-08,371.45233154296875,371.680605008,365.4968658565483,366.4596673541622,20144800
2023-12-11,368.5440368652344,368.8418283086429,363.3826517145165,365.74499115999953,27708800
2023-12-12,371.6011962890625,371.6409078734443,367.7102788783657,368.0973986711949,24838300
2023-12-13,371.59124755859375,374.83699548980223,368.01796236834986,373.22899443589563,30955500
2023-12-14,363.21392822265625,370.9858281001623,361.4273005886206,370.5391560461205,43277500
2023-12-15,367.9783020019531,369.63588961946664,363.56131959614595,364.12709609407943,78478200
2023-12-18,369.884033203125,370.23144141816454,365.9434989554768,366.7078030867766,21802900
2023-12-19,370.489501953125,370.489501953125,367.0948734411933,368.73262032256434,20603700
2023-12-20,367.8691101074219,373.238958629029,367.77978175717385,372.2166048992151,26316700
2023-12-21,370.7674255371094,371.6309631567769,367.2934041212111,369.7946886358752,17708000
2023-12-22,371.7997131347656,372.3952657674826,369.943597824132,370.9063993312227,17091100
2023-12-26,371.8791198730469,374.1421955445061,370.7277262449622,372.21659261542385,12673100
2023-12-27,371.29351806640625,372.2761602183441,370.042860570438,370.916333723745,14905400
2023-12-28,372.49456787109375,373.6658023181358,371.3828856643374,372.5838962315222,14327000
2023-12-29,373.2489013671875,374.36058346889905,370.7079050515424,373.2091897803934,18723000
